date,new_cases,new_deaths,new_cases_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,tests_units_not performed,tests_units_tests performed
2020-03-17,-0.6721178135841065,-1.1927528223132102,-0.6721175863238542,5.2289684674639245,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2535943149714401,-1.579345223292337,-1.253594293640126,-1.5791885230031757,0.4241974230067098,-0.5485250400820847,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-0.21539207410338151,-0.22418236317507875,0.2241823631750785
2020-03-18,-0.6664128796813609,-1.169424272992871,-0.6664128962301096,5.209096192803243,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2534118719995324,-1.562890135025851,-1.2534122808905217,-1.5630809120216995,0.5456491091581341,-0.5993634898082345,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-0.21539207410338151,-0.22418236317507875,0.2241823631750785
2020-03-19,-0.6536944772792447,-1.157252855956172,-0.6536943184776718,5.149479368821199,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2531922698813687,-1.5468720594421514,-1.2531916959025908,-1.5469733010402231,0.5976998317944587,-0.6163096397169511,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.5640894162752834,-0.22418236317507875,0.2241823631750785
2020-03-20,-0.6407268301920571,-1.1227671743521923,-0.6407268087938707,4.950756622214387,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2529159641298118,-1.5224290036381642,-1.252915663322065,-1.522552084390888,0.7191515179458828,-0.6586750144887425,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.5640894162752834,-0.22418236317507875,0.2241823631750785
2020-03-21,-0.6433023586044617,-1.125810028611367,-0.6433014103432496,4.573183403661442,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2526415085510831,-1.5232265517842494,-1.252642041506435,-1.523071684745129,0.8579534449760821,-0.7010403892605341,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
2020-03-22,-0.6230581514058838,-1.1004529097849114,-0.6230572515176497,4.334716107733269,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2523738055600742,-1.5261373684035224,-1.2523732412205957,-1.5261892868705764,0.9967553720062812,-0.7434057640323257,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
2020-03-23,-0.6075980574679821,-1.0406101093544757,-0.6075981175949241,3.877653790537599,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2520846680815045,-1.5168976716817548,-1.2520851548155927,-1.5168364804942354,1.1529075399152549,-0.7857711388041172,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
2020-03-24,-0.6112951869632081,-0.983810163183215,-0.6112952177607287,3.400719198681248,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2517059836863218,-1.4782969657150724,-1.251705459344564,-1.4783860542803886,1.2917094669454539,-0.8111903636671922,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
2020-03-25,-0.6008476805806313,-0.8925245354079743,-0.6008469914193368,2.9834014308069414,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.251290636179477,-1.4624927141940218,-1.2512908077825515,-1.4622784432989122,1.3958109122181033,-0.8366095885302672,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
2020-03-26,-0.5614254795585032,-0.807324616151083,-0.5614258541775929,2.725061860218085,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2508226184884184,-1.4397883445636916,-1.2508231193928399,-1.4399356280665419,1.5346128392483025,-0.8535557384389837,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
2020-03-27,-0.5560944126833647,-0.700824717079969,-0.5560945619808934,2.486594564289909,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.250330787516163,-1.4295232287969575,-1.250331323354174,-1.4295436209817185,1.6387142845209515,-0.8789749633020587,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,0.924049307181046,-0.22418236317507875,0.2241823631750785
